protein1 protein2 combined_score
243273.MG_433 243273.MG_430 586
243273.MG_433 243273.MG_089 932
243273.MG_433 243273.MG_392 440
243273.MG_433 243273.MG_398 416
243273.MG_433 243273.MG_088 750
243273.MG_433 243273.MG_197 521
243273.MG_433 243273.MG_404 651
243273.MG_433 243273.MG_253 230
243273.MG_433 243273.MG_278 228
243273.MG_433 243273.MG_066 229
243273.MG_433 243273.MG_004 299
243273.MG_433 243273.MG_030 310
243273.MG_433 243273.MG_208 186
243273.MG_433 243273.MG_334 202
243273.MG_433 243273.MG_091 183
243273.MG_433 243273.MG_426 464
243273.MG_433 243273.MG_213 357
243273.MG_433 243273.MG_169 730
243273.MG_433 243273.MG_407 441
243273.MG_433 243273.MG_365 349
243273.MG_433 243273.MG_357 356
243273.MG_433 243273.MG_107 342
243273.MG_433 243273.MG_473 516
243273.MG_433 243273.MG_099 304
243273.MG_433 243273.MG_260 195
243273.MG_433 243273.MG_054 477
243273.MG_433 243273.MG_105 186
243273.MG_433 243273.MG_159 592
243273.MG_433 243273.MG_031 250
243273.MG_433 243273.MG_048 400
243273.MG_433 243273.MG_122 722
243273.MG_433 243273.MG_432 575
243273.MG_433 243273.MG_297 256
243273.MG_433 243273.MG_234 718
243273.MG_433 243273.MG_476 187
243273.MG_433 243273.MG_345 236
243273.MG_433 243273.MG_325 516
243273.MG_433 243273.MG_102 276
243273.MG_433 243273.MG_005 152
243273.MG_433 243273.MG_010 213
243273.MG_433 243273.MG_157 799
243273.MG_433 243273.MG_151 812
243273.MG_433 243273.MG_311 818
243273.MG_433 243273.MG_152 812
243273.MG_433 243273.MG_459 171
243273.MG_433 243273.MG_250 358
243273.MG_433 243273.MG_153 723
243273.MG_433 243273.MG_481 357
243273.MG_433 243273.MG_387 301
243273.MG_433 243273.MG_142 791
243273.MG_433 243273.MG_141 580
243273.MG_433 243273.MG_047 220
243273.MG_433 243273.MG_003 165
243273.MG_433 243273.MG_194 285
243273.MG_433 243273.MG_175 727
243273.MG_433 243273.MG_158 812
243273.MG_433 243273.MG_391 169
243273.MG_433 243273.MG_444 868
243273.MG_433 243273.MG_368 215
243273.MG_433 243273.MG_174 480
243273.MG_433 243273.MG_451 999
243273.MG_433 243273.MG_138 525
243273.MG_433 243273.MG_482 186
243273.MG_433 243273.MG_059 538
243273.MG_433 243273.MG_283 400
243273.MG_433 243273.MG_165 701
243273.MG_433 243273.MG_096 181
243273.MG_433 243273.MG_437 839
243273.MG_433 243273.MG_339 438
243273.MG_433 243273.MG_212 186
243273.MG_433 243273.MG_435 987
243273.MG_433 243273.MG_249 630
243273.MG_433 243273.MG_259 361
243273.MG_433 243273.MG_167 700
243273.MG_433 243273.MG_282 453
243273.MG_433 243273.MG_431 648
243273.MG_433 243273.MG_457 249
243273.MG_433 243273.MG_172 600
243273.MG_433 243273.MG_300 543
243273.MG_433 243273.MG_258 484
243273.MG_433 243273.MG_418 837
243273.MG_433 243273.MG_182 279
243273.MG_433 243273.MG_434 986
243273.MG_433 243273.MG_093 873
243273.MG_433 243273.MG_405 663
243273.MG_433 243273.MG_375 301
243273.MG_433 243273.MG_299 193
243273.MG_433 243273.MG_036 238
243273.MG_433 243273.MG_362 856
243273.MG_433 243273.MG_277 219
243273.MG_433 243273.MG_252 281
243273.MG_433 243273.MG_081 820
243273.MG_433 243273.MG_008 471
243273.MG_433 243273.MG_351 288
243273.MG_433 243273.MG_204 258
243273.MG_433 243273.MG_166 854
243273.MG_433 243273.MG_466 326
243273.MG_433 243273.MG_168 847
243273.MG_433 243273.MG_162 682
243273.MG_433 243273.MG_143 588
243273.MG_433 243273.MG_201 420
243273.MG_433 243273.MG_150 817
243273.MG_434 243273.MG_169 261
243273.MG_434 243273.MG_365 226
243273.MG_434 243273.MG_407 499
243273.MG_434 243273.MG_083 256
243273.MG_434 243273.MG_426 196
243273.MG_434 243273.MG_433 986
243273.MG_434 243273.MG_110 186
243273.MG_434 243273.MG_297 156
243273.MG_434 243273.MG_432 550
243273.MG_434 243273.MG_122 672
243273.MG_434 243273.MG_048 296
243273.MG_434 243273.MG_031 334
243273.MG_434 243273.MG_069 504
243273.MG_434 243273.MG_473 201
243273.MG_434 243273.MG_099 432
243273.MG_434 243273.MG_228 175
243273.MG_434 243273.MG_105 186
243273.MG_434 243273.MG_054 229
243273.MG_434 243273.MG_107 453
243273.MG_434 243273.MG_357 178
243273.MG_434 243273.MG_151 254
243273.MG_434 243273.MG_157 208
243273.MG_434 243273.MG_152 230
243273.MG_434 243273.MG_311 185
243273.MG_434 243273.MG_325 201
243273.MG_434 243273.MG_345 178
243273.MG_434 243273.MG_234 289
243273.MG_434 243273.MG_175 186
243273.MG_434 243273.MG_141 478
243273.MG_434 243273.MG_194 258
243273.MG_434 243273.MG_142 346
243273.MG_434 243273.MG_387 220
243273.MG_434 243273.MG_153 227
243273.MG_434 243273.MG_231 150
243273.MG_434 243273.MG_283 310
243273.MG_434 243273.MG_437 928
243273.MG_434 243273.MG_165 286
243273.MG_434 243273.MG_096 186
243273.MG_434 243273.MG_482 186
243273.MG_434 243273.MG_138 197
243273.MG_434 243273.MG_368 528
243273.MG_434 243273.MG_158 229
243273.MG_434 243273.MG_126 214
243273.MG_434 243273.MG_444 550
243273.MG_434 243273.MG_347 186
243273.MG_434 243273.MG_112 171
243273.MG_434 243273.MG_300 473
243273.MG_434 243273.MG_172 298
243273.MG_434 243273.MG_431 564
243273.MG_434 243273.MG_167 202
243273.MG_434 243273.MG_259 443
243273.MG_434 243273.MG_249 377
243273.MG_434 243273.MG_212 283
243273.MG_434 243273.MG_276 215
243273.MG_434 243273.MG_339 389
243273.MG_434 243273.MG_435 991
243273.MG_434 243273.MG_375 193
243273.MG_434 243273.MG_036 251
243273.MG_434 243273.MG_093 291
243273.MG_434 243273.MG_024 293
243273.MG_434 243273.MG_405 257
243273.MG_434 243273.MG_418 343
243273.MG_434 243273.MG_461 186
243273.MG_434 243273.MG_258 179
243273.MG_434 243273.MG_162 151
243273.MG_434 243273.MG_150 617
243273.MG_434 243273.MG_442 169
243273.MG_434 243273.MG_143 298
243273.MG_434 243273.MG_166 222
243273.MG_434 243273.MG_204 168
243273.MG_434 243273.MG_008 229
243273.MG_434 243273.MG_168 198
243273.MG_434 243273.MG_081 416
243273.MG_434 243273.MG_252 171
243273.MG_434 243273.MG_277 187
243273.MG_434 243273.MG_227 467
243273.MG_434 243273.MG_361 237
243273.MG_434 243273.MG_087 261
243273.MG_434 243273.MG_455 240
243273.MG_434 243273.MG_417 347
243273.MG_434 243273.MG_382 946
243273.MG_434 243273.MG_170 492
243273.MG_434 243273.MG_445 507
243273.MG_434 243273.MG_178 186
243273.MG_434 243273.MG_062 483
243273.MG_434 243273.MG_355 470
243273.MG_434 243273.MG_399 387
243273.MG_434 243273.MG_330 515
243273.MG_434 243273.MG_176 266
243273.MG_434 243273.MG_090 229
243273.MG_434 243273.MG_156 230
243273.MG_434 243273.MG_446 352
243273.MG_434 243273.MG_363 204
243273.MG_434 243273.MG_064 261
243273.MG_434 243273.MG_145 426
243273.MG_434 243273.MG_034 565
243273.MG_434 243273.MG_477 343
243273.MG_434 243273.MG_136 291
243273.MG_434 243273.MG_026 390
243273.MG_434 243273.MG_104 189
243273.MG_434 243273.MG_177 463
243273.MG_434 243273.MG_023 257
243273.MG_434 243273.MG_301 474
243273.MG_434 243273.MG_266 295
243273.MG_434 243273.MG_465 222
243273.MG_434 243273.MG_424 375
243273.MG_434 243273.MG_394 423
243273.MG_434 243273.MG_367 295
243273.MG_434 243273.MG_295 174
243273.MG_434 243273.MG_072 382
243273.MG_434 243273.MG_196 192
243273.MG_434 243273.MG_055 222
243273.MG_434 243273.MG_318 270
243273.MG_434 243273.MG_146 221
243273.MG_434 243273.MG_058 294
243273.MG_434 243273.MG_462 237
243273.MG_434 243273.MG_438 716
243273.MG_434 243273.MG_400 284
243273.MG_434 243273.MG_210 172
243273.MG_434 243273.MG_070 906
243273.MG_434 243273.MG_082 569
243273.MG_434 243273.MG_401 502
243273.MG_434 243273.MG_464 216
243273.MG_434 243273.MG_006 536
243273.MG_434 243273.MG_232 200
243273.MG_434 243273.MG_155 261
243273.MG_434 243273.MG_160 192
243273.MG_434 243273.MG_171 636
243273.MG_434 243273.MG_292 236
243273.MG_434 243273.MG_154 272
243273.MG_434 243273.MG_402 390
243273.MG_434 243273.MG_261 224
243273.MG_434 243273.MG_403 402
243273.MG_434 243273.MG_195 706
243273.MG_434 243273.MG_161 174
243273.MG_434 243273.MG_173 153
243273.MG_434 243273.MG_021 155
243273.MG_434 243273.MG_164 202
243273.MG_434 243273.MG_163 192
243273.MG_434 243273.MG_092 292
243273.MG_434 243273.MG_238 480
243273.MG_434 243273.MG_522 173
243273.MG_434 243273.MG_224 429
243273.MG_434 243273.MG_329 236
243273.MG_434 243273.MG_430 514
243273.MG_434 243273.MG_463 152
243273.MG_434 243273.MG_429 436
243273.MG_434 243273.MG_114 418
243273.MG_434 243273.MG_089 234
243273.MG_434 243273.MG_215 311
243273.MG_434 243273.MG_257 270
243273.MG_434 243273.MG_111 258
243273.MG_434 243273.MG_378 259
243273.MG_434 243273.MG_341 467
243273.MG_434 243273.MG_208 219
243273.MG_434 243273.MG_334 260
243273.MG_434 243273.MG_030 951
243273.MG_434 243273.MG_004 168
243273.MG_434 243273.MG_253 150
243273.MG_434 243273.MG_404 224
243273.MG_434 243273.MG_278 304
243273.MG_434 243273.MG_197 174
243273.MG_434 243273.MG_088 252
243273.MG_435 243273.MG_200 232
243273.MG_435 243273.MG_339 417
243273.MG_435 243273.MG_249 218
243273.MG_435 243273.MG_259 703
243273.MG_435 243273.MG_457 767
243273.MG_435 243273.MG_431 500
243273.MG_435 243273.MG_282 251
243273.MG_435 243273.MG_167 990
243273.MG_435 243273.MG_300 427
243273.MG_435 243273.MG_172 305
243273.MG_435 243273.MG_007 295
243273.MG_435 243273.MG_444 999
243273.MG_435 243273.MG_130 282
243273.MG_435 243273.MG_158 999
243273.MG_435 243273.MG_126 243
243273.MG_435 243273.MG_174 999
243273.MG_435 243273.MG_019 232
243273.MG_435 243273.MG_368 156
243273.MG_435 243273.MG_138 548
243273.MG_435 243273.MG_482 186
243273.MG_435 243273.MG_451 487
243273.MG_435 243273.MG_437 851
243273.MG_435 243273.MG_165 990
243273.MG_435 243273.MG_059 670
243273.MG_435 243273.MG_283 337
243273.MG_435 243273.MG_252 186
243273.MG_435 243273.MG_081 999
243273.MG_435 243273.MG_277 203
243273.MG_435 243273.MG_168 999
243273.MG_435 243273.MG_466 933
243273.MG_435 243273.MG_351 246
243273.MG_435 243273.MG_166 999
243273.MG_435 243273.MG_150 999
243273.MG_435 243273.MG_201 384
243273.MG_435 243273.MG_143 488
243273.MG_435 243273.MG_162 999
243273.MG_435 243273.MG_418 999
243273.MG_435 243273.MG_258 872
243273.MG_435 243273.MG_434 991
243273.MG_435 243273.MG_209 239
243273.MG_435 243273.MG_405 387
243273.MG_435 243273.MG_093 999
243273.MG_435 243273.MG_084 184
243273.MG_435 243273.MG_362 888
243273.MG_435 243273.MG_036 213
243273.MG_435 243273.MG_375 870
243273.MG_435 243273.MG_107 239
243273.MG_435 243273.MG_357 194
243273.MG_435 243273.MG_388 153
243273.MG_435 243273.MG_105 186
243273.MG_435 243273.MG_054 404
243273.MG_435 243273.MG_099 229
243273.MG_435 243273.MG_473 896
243273.MG_435 243273.MG_380 353
243273.MG_435 243273.MG_031 334
243273.MG_435 243273.MG_048 196
243273.MG_435 243273.MG_159 999
243273.MG_435 243273.MG_122 676
243273.MG_435 243273.MG_432 555
243273.MG_435 243273.MG_433 987
243273.MG_435 243273.MG_110 245
243273.MG_435 243273.MG_213 357
243273.MG_435 243273.MG_426 999
243273.MG_435 243273.MG_083 801
243273.MG_435 243273.MG_407 552
243273.MG_435 243273.MG_365 417
243273.MG_435 243273.MG_134 166
243273.MG_435 243273.MG_169 999
243273.MG_435 243273.MG_065 213
243273.MG_435 243273.MG_153 999
243273.MG_435 243273.MG_142 331
243273.MG_435 243273.MG_387 169
243273.MG_435 243273.MG_481 703
243273.MG_435 243273.MG_047 165
243273.MG_435 243273.MG_194 164
243273.MG_435 243273.MG_141 378
243273.MG_435 243273.MG_175 992
243273.MG_435 243273.MG_234 999
243273.MG_435 243273.MG_345 440
243273.MG_435 243273.MG_476 305
243273.MG_435 243273.MG_325 896
243273.MG_435 243273.MG_311 992
243273.MG_435 243273.MG_152 999
243273.MG_435 243273.MG_046 164
243273.MG_435 243273.MG_157 965
243273.MG_435 243273.MG_151 999
243273.MG_435 243273.MG_329 350
243273.MG_435 243273.MG_224 190
243273.MG_435 243273.MG_522 945
243273.MG_435 243273.MG_073 220
243273.MG_435 243273.MG_092 945
243273.MG_435 243273.MG_163 999
243273.MG_435 243273.MG_238 544
243273.MG_435 243273.MG_287 153
243273.MG_435 243273.MG_021 216
243273.MG_435 243273.MG_164 999
243273.MG_435 243273.MG_161 999
243273.MG_435 243273.MG_173 180
243273.MG_435 243273.MG_195 620
243273.MG_435 243273.MG_261 189
243273.MG_435 243273.MG_403 463
243273.MG_435 243273.MG_292 315
243273.MG_435 243273.MG_402 479
243273.MG_435 243273.MG_154 999
243273.MG_435 243273.MG_171 418
243273.MG_435 243273.MG_155 961
243273.MG_435 243273.MG_160 989
243273.MG_435 243273.MG_232 999
243273.MG_435 243273.MG_464 210
243273.MG_435 243273.MG_401 410
243273.MG_435 243273.MG_070 999
243273.MG_435 243273.MG_082 977
243273.MG_435 243273.MG_271 215
243273.MG_435 243273.MG_197 991
243273.MG_435 243273.MG_088 999
243273.MG_435 243273.MG_253 167
243273.MG_435 243273.MG_404 309
243273.MG_435 243273.MG_066 214
243273.MG_435 243273.MG_208 186
243273.MG_435 243273.MG_341 478
243273.MG_435 243273.MG_305 378
243273.MG_435 243273.MG_038 151
243273.MG_435 243273.MG_378 270
243273.MG_435 243273.MG_257 998
243273.MG_435 243273.MG_041 159
243273.MG_435 243273.MG_002 232
243273.MG_435 243273.MG_392 386
243273.MG_435 243273.MG_089 996
243273.MG_435 243273.MG_463 482
243273.MG_435 243273.MG_430 458
243273.MG_435 243273.MG_429 473
243273.MG_435 243273.MG_446 999
243273.MG_435 243273.MG_156 999
243273.MG_435 243273.MG_064 161
243273.MG_435 243273.MG_363 999
243273.MG_435 243273.MG_176 999
243273.MG_435 243273.MG_330 150
243273.MG_435 243273.MG_090 996
243273.MG_435 243273.MG_100 198
243273.MG_435 243273.MG_399 479
243273.MG_435 243273.MG_198 999
243273.MG_435 243273.MG_346 232
243273.MG_435 243273.MG_178 999
243273.MG_435 243273.MG_445 327
243273.MG_435 243273.MG_421 185
243273.MG_435 243273.MG_170 469
243273.MG_435 243273.MG_417 999
243273.MG_435 243273.MG_419 188
243273.MG_435 243273.MG_087 999
243273.MG_435 243273.MG_332 230
243273.MG_435 243273.MG_455 242
243273.MG_435 243273.MG_106 499
243273.MG_435 243273.MG_035 419
243273.MG_435 243273.MG_526 193
243273.MG_435 243273.MG_361 874
243273.MG_435 243273.MG_001 373
243273.MG_435 243273.MG_210 157
243273.MG_435 243273.MG_400 264
243273.MG_435 243273.MG_438 714
243273.MG_435 243273.MG_113 275
243273.MG_435 243273.MG_462 259
243273.MG_435 243273.MG_058 250
243273.MG_435 243273.MG_055 202
243273.MG_435 243273.MG_098 160
243273.MG_435 243273.MG_222 176
243273.MG_435 243273.MG_318 253
243273.MG_435 243273.MG_272 286
243273.MG_435 243273.MG_424 999
243273.MG_435 243273.MG_196 608
243273.MG_435 243273.MG_340 191
243273.MG_435 243273.MG_367 876
243273.MG_435 243273.MG_384 178
243273.MG_435 243273.MG_177 492
243273.MG_435 243273.MG_229 293
243273.MG_435 243273.MG_026 532
243273.MG_435 243273.MG_104 277
243273.MG_435 243273.MG_136 228
243273.MG_435 243273.MG_469 353
243273.MG_435 243273.MG_037 186
243273.MG_435 243273.MG_145 218
243273.MG_435 243273.MG_477 334
243273.MG_437 243273.MG_224 254
243273.MG_437 243273.MG_238 258
243273.MG_437 243273.MG_171 671
243273.MG_437 243273.MG_402 236
243273.MG_437 243273.MG_292 186
243273.MG_437 243273.MG_246 167
243273.MG_437 243273.MG_261 186
243273.MG_437 243273.MG_070 186
243273.MG_437 243273.MG_278 263
243273.MG_437 243273.MG_517 291
243273.MG_437 243273.MG_040 217
243273.MG_437 243273.MG_030 192
243273.MG_437 243273.MG_208 186
243273.MG_437 243273.MG_066 164
243273.MG_437 243273.MG_111 427
243273.MG_437 243273.MG_086 255
243273.MG_437 243273.MG_429 435
243273.MG_437 243273.MG_430 538
243273.MG_437 243273.MG_089 170
243273.MG_437 243273.MG_114 955
243273.MG_437 243273.MG_215 209
243273.MG_437 243273.MG_257 311
243273.MG_437 243273.MG_330 390
243273.MG_437 243273.MG_064 156
243273.MG_437 243273.MG_445 166
243273.MG_437 243273.MG_127 208
243273.MG_437 243273.MG_417 181
243273.MG_437 243273.MG_382 170
243273.MG_437 243273.MG_011 207
243273.MG_437 243273.MG_227 204
243273.MG_437 243273.MG_455 214
243273.MG_437 243273.MG_332 217
243273.MG_437 243273.MG_438 719
243273.MG_437 243273.MG_210 227
243273.MG_437 243273.MG_318 170
243273.MG_437 243273.MG_013 261
243273.MG_437 243273.MG_301 200
243273.MG_437 243273.MG_023 236
243273.MG_437 243273.MG_384 276
243273.MG_437 243273.MG_148 158
243273.MG_437 243273.MG_340 163
243273.MG_437 243273.MG_424 186
243273.MG_437 243273.MG_394 471
243273.MG_437 243273.MG_477 258
243273.MG_437 243273.MG_034 408
243273.MG_437 243273.MG_145 245
243273.MG_437 243273.MG_396 159
243273.MG_437 243273.MG_247 378
243273.MG_437 243273.MG_259 267
243273.MG_437 243273.MG_212 947
243273.MG_437 243273.MG_435 851
243273.MG_437 243273.MG_200 239
243273.MG_437 243273.MG_007 151
243273.MG_437 243273.MG_112 248
243273.MG_437 243273.MG_172 186
243273.MG_437 243273.MG_300 246
243273.MG_437 243273.MG_431 638
243273.MG_437 243273.MG_457 186
243273.MG_437 243273.MG_368 596
243273.MG_437 243273.MG_019 248
243273.MG_437 243273.MG_316 212
243273.MG_437 243273.MG_283 306
243273.MG_437 243273.MG_096 186
243273.MG_437 243273.MG_165 180
243273.MG_437 243273.MG_206 247
243273.MG_437 243273.MG_482 437
243273.MG_437 243273.MG_277 152
243273.MG_437 243273.MG_252 306
243273.MG_437 243273.MG_143 186
243273.MG_437 243273.MG_182 172
243273.MG_437 243273.MG_434 928
243273.MG_437 243273.MG_418 179
243273.MG_437 243273.MG_375 255
243273.MG_437 243273.MG_084 185
243273.MG_437 243273.MG_405 262
243273.MG_437 243273.MG_099 286
243273.MG_437 243273.MG_105 186
243273.MG_437 243273.MG_388 186
243273.MG_437 243273.MG_228 257
243273.MG_437 243273.MG_302 373
243273.MG_437 243273.MG_432 550
243273.MG_437 243273.MG_122 357
243273.MG_437 243273.MG_205 181
243273.MG_437 243273.MG_031 334
243273.MG_437 243273.MG_433 839
243273.MG_437 243273.MG_181 322
243273.MG_437 243273.MG_091 183
243273.MG_437 243273.MG_407 264
243273.MG_437 243273.MG_387 375
243273.MG_437 243273.MG_142 170
243273.MG_437 243273.MG_116 158
243273.MG_437 243273.MG_218 176
243273.MG_437 243273.MG_141 292
243273.MG_437 243273.MG_345 215
243273.MG_437 243273.MG_254 154
243273.MG_437 243273.MG_468 197
243273.MG_437 243273.MG_046 186
243273.MG_437 243273.MG_152 170
243273.MG_437 243273.MG_102 150
243273.MG_437 243273.MG_005 200
243273.MG_438 243273.MG_126 240
243273.MG_438 243273.MG_403 646
243273.MG_438 243273.MG_195 198
243273.MG_438 243273.MG_130 316
243273.MG_438 243273.MG_310 171
243273.MG_438 243273.MG_391 214
243273.MG_438 243273.MG_171 212
243273.MG_438 243273.MG_316 737
243273.MG_438 243273.MG_019 270
243273.MG_438 243273.MG_244 335
243273.MG_438 243273.MG_206 186
243273.MG_438 243273.MG_239 213
243273.MG_438 243273.MG_437 719
243273.MG_438 243273.MG_339 238
243273.MG_438 243273.MG_200 369
243273.MG_438 243273.MG_435 714
243273.MG_438 243273.MG_324 208
243273.MG_438 243273.MG_431 452
243273.MG_438 243273.MG_457 198
243273.MG_438 243273.MG_007 177
243273.MG_438 243273.MG_021 208
243273.MG_438 243273.MG_172 208
243273.MG_438 243273.MG_366 694
243273.MG_438 243273.MG_379 223
243273.MG_438 243273.MG_305 210
243273.MG_438 243273.MG_344 602
243273.MG_438 243273.MG_434 716
243273.MG_438 243273.MG_002 270
243273.MG_438 243273.MG_024 217
243273.MG_438 243273.MG_080 217
243273.MG_438 243273.MG_430 407
243273.MG_438 243273.MG_429 468
243273.MG_438 243273.MG_040 229
243273.MG_438 243273.MG_427 210
243273.MG_438 243273.MG_008 298
243273.MG_438 243273.MG_225 391
243273.MG_438 243273.MG_140 256
243273.MG_438 243273.MG_208 169
243273.MG_438 243273.MG_294 708
243273.MG_438 243273.MG_091 511
243273.MG_438 243273.MG_011 445
243273.MG_438 243273.MG_303 204
243273.MG_438 243273.MG_213 153
243273.MG_438 243273.MG_061 710
243273.MG_438 243273.MG_433 718
243273.MG_438 243273.MG_386 736
243273.MG_438 243273.MG_419 198
243273.MG_438 243273.MG_390 655
243273.MG_438 243273.MG_428 640
243273.MG_438 243273.MG_291 259
243273.MG_438 243273.MG_064 451
243273.MG_438 243273.MG_260 653
243273.MG_438 243273.MG_399 208
243273.MG_438 243273.MG_054 288
243273.MG_438 243273.MG_302 335
243273.MG_438 243273.MG_122 585
243273.MG_438 243273.MG_432 591
243273.MG_438 243273.MG_226 535
243273.MG_438 243273.MG_468 773
243273.MG_438 243273.MG_148 617
243273.MG_438 243273.MG_183 169
243273.MG_438 243273.MG_185 725
243273.MG_438 243273.MG_125 185
243273.MG_438 243273.MG_353 232
243273.MG_438 243273.MG_262 268
243273.MG_438 243273.MG_289 158
243273.MG_438 243273.MG_210 199
243273.MG_438 243273.MG_123 773
243273.MG_438 243273.MG_142 221
243273.MG_438 243273.MG_184 775
243273.MG_438 243273.MG_423 211
243273.MG_438 243273.MG_047 208
243273.MG_438 243273.MG_462 204
243273.MG_438 243273.MG_098 588
243273.MG_438 243273.MG_328 614
243273.MG_438 243273.MG_318 221
243273.MG_438 243273.MG_218 782
243273.MG_439 243273.MG_442 313
243273.MG_439 243273.MG_440 774
243273.MG_439 243273.MG_445 304
243273.MG_439 243273.MG_441 517
243273.MG_439 243273.MG_443 313
243273.MG_439 243273.MG_446 304
243273.MG_439 243273.MG_444 304
243273.MG_440 243273.MG_444 304
243273.MG_440 243273.MG_443 313
243273.MG_440 243273.MG_446 304
243273.MG_440 243273.MG_439 774
243273.MG_440 243273.MG_441 483
243273.MG_440 243273.MG_445 304
243273.MG_440 243273.MG_442 313
243273.MG_441 243273.MG_443 462
243273.MG_441 243273.MG_440 483
243273.MG_441 243273.MG_442 462
243273.MG_441 243273.MG_439 517
243273.MG_441 243273.MG_446 446
243273.MG_441 243273.MG_444 446
243273.MG_441 243273.MG_445 446
243273.MG_442 243273.MG_070 505
243273.MG_442 243273.MG_082 740
243273.MG_442 243273.MG_370 828
243273.MG_442 243273.MG_232 996
243273.MG_442 243273.MG_155 161
243273.MG_442 243273.MG_443 781
243273.MG_442 243273.MG_154 968
243273.MG_442 243273.MG_195 390
243273.MG_442 243273.MG_287 974
243273.MG_442 243273.MG_164 357
243273.MG_442 243273.MG_161 999
243273.MG_442 243273.MG_173 157
243273.MG_442 243273.MG_163 968
243273.MG_442 243273.MG_238 172
243273.MG_442 243273.MG_329 609
243273.MG_442 243273.MG_392 194
243273.MG_442 243273.MG_463 531
243273.MG_442 243273.MG_356 316
243273.MG_442 243273.MG_002 779
243273.MG_442 243273.MG_378 201
243273.MG_442 243273.MG_341 315
243273.MG_442 243273.MG_038 172
243273.MG_442 243273.MG_214 159
243273.MG_442 243273.MG_088 395
243273.MG_442 243273.MG_361 923
243273.MG_442 243273.MG_087 500
243273.MG_442 243273.MG_018 170
243273.MG_442 243273.MG_417 574
243273.MG_442 243273.MG_382 194
243273.MG_442 243273.MG_308 923
243273.MG_442 243273.MG_346 334
243273.MG_442 243273.MG_445 820
243273.MG_442 243273.MG_178 997
243273.MG_442 243273.MG_062 183
243273.MG_442 243273.MG_198 886
243273.MG_442 243273.MG_441 462
243273.MG_442 243273.MG_156 987
243273.MG_442 243273.MG_446 886
243273.MG_442 243273.MG_363 893
243273.MG_442 243273.MG_176 343
243273.MG_442 243273.MG_090 554
243273.MG_442 243273.MG_136 260
243273.MG_442 243273.MG_104 215
243273.MG_442 243273.MG_396 735
243273.MG_442 243273.MG_177 165
243273.MG_442 243273.MG_424 586
243273.MG_442 243273.MG_340 296
243273.MG_442 243273.MG_367 558
243273.MG_442 243273.MG_015 369
243273.MG_442 243273.MG_384 674
243273.MG_442 243273.MG_266 163
243273.MG_442 243273.MG_240 635
243273.MG_442 243273.MG_318 175
243273.MG_442 243273.MG_013 194
243273.MG_442 243273.MG_235 158
243273.MG_442 243273.MG_462 905
243273.MG_442 243273.MG_165 314
243273.MG_442 243273.MG_451 522
243273.MG_442 243273.MG_014 369
243273.MG_442 243273.MG_174 435
243273.MG_442 243273.MG_019 779
243273.MG_442 243273.MG_444 976
243273.MG_442 243273.MG_347 306
243273.MG_442 243273.MG_158 797
243273.MG_442 243273.MG_300 259
243273.MG_442 243273.MG_425 923
243273.MG_442 243273.MG_172 842
243273.MG_442 243273.MG_167 983
243273.MG_442 243273.MG_324 172
243273.MG_442 243273.MG_259 277
243273.MG_442 243273.MG_247 161
243273.MG_442 243273.MG_200 779
243273.MG_442 243273.MG_439 313
243273.MG_442 243273.MG_362 509
243273.MG_442 243273.MG_375 375
243273.MG_442 243273.MG_209 828
243273.MG_442 243273.MG_093 440
243273.MG_442 243273.MG_084 193
243273.MG_442 243273.MG_024 303
243273.MG_442 243273.MG_434 169
243273.MG_442 243273.MG_335 979
243273.MG_442 243273.MG_182 260
243273.MG_442 243273.MG_418 999
243273.MG_442 243273.MG_440 313
243273.MG_442 243273.MG_150 502
243273.MG_442 243273.MG_162 999
243273.MG_442 243273.MG_168 601
243273.MG_442 243273.MG_466 661
243273.MG_442 243273.MG_166 983
243273.MG_442 243273.MG_008 935
243273.MG_442 243273.MG_009 313
243273.MG_442 243273.MG_081 986
243273.MG_442 243273.MG_252 944
243273.MG_442 243273.MG_365 178
243273.MG_442 243273.MG_169 999
243273.MG_442 243273.MG_213 265
243273.MG_442 243273.MG_297 186
243273.MG_442 243273.MG_122 366
243273.MG_442 243273.MG_031 219
243273.MG_442 243273.MG_048 229
243273.MG_442 243273.MG_159 994
243273.MG_442 243273.MG_388 270
243273.MG_442 243273.MG_473 395
243273.MG_442 243273.MG_311 290
243273.MG_442 243273.MG_152 981
243273.MG_442 243273.MG_157 308
243273.MG_442 243273.MG_151 999
243273.MG_442 243273.MG_044 151
243273.MG_442 243273.MG_325 395
243273.MG_442 243273.MG_372 207
243273.MG_442 243273.MG_234 888
243273.MG_442 243273.MG_175 188
243273.MG_442 243273.MG_194 187
243273.MG_442 243273.MG_141 190
243273.MG_442 243273.MG_142 175
243273.MG_442 243273.MG_387 606
243273.MG_442 243273.MG_153 994
243273.MG_443 243273.MG_185 215
243273.MG_443 243273.MG_468 299
243273.MG_443 243273.MG_157 158
243273.MG_443 243273.MG_213 670
243273.MG_443 243273.MG_091 203
243273.MG_443 243273.MG_134 331
243273.MG_443 243273.MG_260 246
243273.MG_443 243273.MG_069 165
243273.MG_443 243273.MG_432 187
243273.MG_443 243273.MG_268 658
243273.MG_443 243273.MG_159 358
243273.MG_443 243273.MG_447 267
243273.MG_443 243273.MG_516 157
243273.MG_443 243273.MG_405 152
243273.MG_443 243273.MG_045 598
243273.MG_443 243273.MG_009 172
